Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,UTC_Time,Latitude,UTM_northing,Longtitude,UTM_easting,Altitude,Zone,Letter
1695743267.405353,113,56868,0,GPS_frame,,42.338195,4689450.006991778,-71.09386166666667,327508.96104778827,18.8,19,T
1695743268.4509382,114,56869,0,GPS_frame,,42.33820000000001,4689450.538536909,-71.09385,327509.9358525684,18.9,19,T
1695743269.4105494,115,56870,0,GPS_frame,,42.33820333333333,4689450.888392433,-71.09384,327510.7687953113,18.9,19,T
1695743270.4117029,116,56871,0,GPS_frame,,42.33820833333333,4689451.423318766,-71.09383,327511.6062951038,19.0,19,T
1695743271.4510388,117,56872,0,GPS_frame,,42.338211666666666,4689451.769793541,-71.09381833333333,327512.5765423615,19.0,19,T
1695743272.4434004,118,56873,0,GPS_frame,,42.33821666666666,4689452.30133916,-71.09380666666667,327513.5513466061,19.0,19,T
1695743273.4506884,119,56874,0,GPS_frame,,42.33822166666667,4689452.836265817,-71.09379666666668,327514.38884600834,18.8,19,T
1695743274.450607,120,56875,0,GPS_frame,,42.338226666666664,4689453.367811682,-71.093785,327515.36364996014,18.7,19,T
1695743275.4513457,121,56876,0,GPS_frame,,42.338235000000005,4689454.269499107,-71.09377333333333,327516.34756779525,18.8,19,T
1695743276.401546,122,56877,0,GPS_frame,,42.33824,4689454.801045235,-71.09376166666667,327517.32237139344,18.9,19,T
1695743277.404889,123,56878,0,GPS_frame,,42.33824666666666,4689455.517662208,-71.09375,327518.3017318076,19.1,19,T
1695743278.4452467,124,56879,0,GPS_frame,,42.33825166666667,4689456.052589412,-71.09374,327519.13923045236,19.4,19,T
1695743279.4025183,125,56880,0,GPS_frame,,42.338258333333336,4689456.765825836,-71.09372666666667,327520.25589511055,19.6,19,T
1695743280.4226696,126,56881,0,GPS_frame,,42.33826333333333,4689457.297372489,-71.093715,327521.23069805145,19.7,19,T
1695743281.450115,127,56882,0,GPS_frame,,42.338268333333325,4689457.835680793,-71.09370666666668,327521.9308916661,19.6,19,T
1695743282.4510868,128,56883,0,GPS_frame,,42.33827333333333,4689458.370608418,-71.09369666666666,327522.768389748,19.5,19,T
1695743283.4095552,129,56884,0,GPS_frame,,42.33827833333333,4689458.90215541,-71.09368500000001,327523.74319226615,19.5,19,T
1695743284.4446657,130,56885,0,GPS_frame,,42.338281666666674,4689459.248631822,-71.09367333333333,327524.71343782847,19.6,19,T
1695743285.4515512,131,56886,0,GPS_frame,,42.338285,4689459.588346991,-71.09365833333332,327525.95829239,19.6,19,T
1695743286.4511044,132,56887,0,GPS_frame,,42.33828833333334,4689459.928062379,-71.09364333333333,327527.2031468202,19.6,19,T
1695743287.507839,133,56888,0,GPS_frame,,42.33829333333333,4689460.452848698,-71.09362833333333,327528.45255782385,19.8,19,T
1695743288.5108476,134,56889,0,GPS_frame,,42.33829666666667,4689460.795945134,-71.093615,327529.56010743557,19.8,19,T
1695743289.5100067,135,56890,0,GPS_frame,,42.3383,4689461.142422333,-71.09360333333333,327530.5303524104,19.8,19,T
1695743290.5122242,136,56891,0,GPS_frame,,42.33830833333333,4689462.047492384,-71.09359333333333,327531.37696267193,19.9,19,T
1695743291.5112033,137,56892,0,GPS_frame,,42.338316666666664,4689462.952562532,-71.09358333333333,327532.2235727166,20.0,19,T
1695743292.5175762,138,56893,0,GPS_frame,,42.33832333333333,4689463.675942611,-71.093575,327532.92832149164,19.9,19,T
1695743293.510324,139,56894,0,GPS_frame,,42.33833,4689464.395942223,-71.093565,327533.7703745761,19.8,19,T
1695743294.5083773,140,56895,0,GPS_frame,,42.33833500000001,4689464.927490703,-71.09355333333333,327534.7451753768,19.7,19,T
1695743295.5088348,141,56896,0,GPS_frame,,42.33834333333333,4689465.822419754,-71.09353833333333,327536.0036979129,19.2,19,T
1695743296.5089698,142,56897,0,GPS_frame,,42.33835166666666,4689466.720729494,-71.093525,327537.1249157239,19.0,19,T
1695743297.510855,143,56898,0,GPS_frame,,42.338359999999994,4689467.622419852,-71.09351333333333,327538.10882886034,19.0,19,T
1695743298.5088346,144,56899,0,GPS_frame,,42.33836833333333,4689468.524110344,-71.09350166666667,327539.0927417435,19.1,19,T
1695743299.5045476,145,56900,0,GPS_frame,,42.33837666666667,4689469.419040149,-71.09348666666666,327540.3512630761,19.1,19,T
1695743300.508833,146,56901,0,GPS_frame,,42.338385,4689470.320730941,-71.093475,327541.3351754225,18.8,19,T
1695743301.5112667,147,56902,0,GPS_frame,,42.338391666666666,4689471.033970782,-71.09346166666666,327542.45183547895,18.8,19,T
1695743302.5121825,148,56903,0,GPS_frame,,42.33839833333333,4689471.750591142,-71.09345,327543.4311909975,18.9,19,T
1695743303.5107708,149,56904,0,GPS_frame,,42.338404999999995,4689472.473972296,-71.09344166666666,327544.13593774626,18.9,19,T
1695743304.5106368,150,56905,0,GPS_frame,,42.33841,4689473.0089024855,-71.09343166666666,327544.9734323325,19.1,19,T
1695743305.5096464,151,56906,0,GPS_frame,,42.338415000000005,4689473.547213074,-71.09342333333333,327545.6736225267,19.0,19,T
1695743306.5021622,152,56907,0,GPS_frame,,42.33842333333334,4689474.455665157,-71.09341500000001,327546.3829251155,19.0,19,T
1695743307.5102444,153,56908,0,GPS_frame,,42.33843333333333,4689475.545807749,-71.093405,327547.23408798856,19.1,19,T
1695743308.5097532,154,56909,0,GPS_frame,,42.33844166666666,4689476.444119209,-71.09339166666668,327548.3553028092,19.3,19,T
1695743309.5106559,155,56910,0,GPS_frame,,42.338449999999995,4689477.342430841,-71.09337833333333,327549.4765173422,19.5,19,T
1695743310.5090675,156,56911,0,GPS_frame,,42.338461666666674,4689478.617644505,-71.09336833333333,327550.3322355547,19.7,19,T
1695743311.5104797,157,56912,0,GPS_frame,,42.33847166666666,4689479.697646961,-71.09335333333334,327551.5953097572,19.9,19,T
1695743312.510042,158,56913,0,GPS_frame,,42.33847833333333,4689480.407508202,-71.09333833333334,327552.8492713908,20.0,19,T
1695743313.5060308,159,56914,0,GPS_frame,,42.33848666666666,4689481.309200672,-71.09332666666666,327553.8331806091,20.2,19,T
1695743314.5093098,160,56915,0,GPS_frame,,42.338494999999995,4689482.210893272,-71.093315,327554.8170895699,20.4,19,T
1695743315.5111754,161,56916,0,GPS_frame,,42.33850833333333,4689483.674558383,-71.09330666666666,327555.5400582163,20.4,19,T
1695743316.5007894,162,56917,0,GPS_frame,,42.33851833333333,4689484.761321927,-71.093295,327556.52852264175,20.6,19,T
1695743317.5095453,163,56918,0,GPS_frame,,42.338530000000006,4689486.039916486,-71.09328666666667,327557.24693471345,21.0,19,T
1695743318.5475388,164,56919,0,GPS_frame,,42.338539999999995,4689487.130060324,-71.09327666666667,327558.09809456655,21.4,19,T
1695743319.5095441,165,56920,0,GPS_frame,,42.338550000000005,4689488.216824208,-71.093265,327559.08655813185,21.7,19,T
1695743320.5103972,166,56921,0,GPS_frame,,42.33856166666666,4689489.48865894,-71.09325333333332,327560.0795773121,22.0,19,T
1695743321.5106502,167,56922,0,GPS_frame,,42.338573333333336,4689490.763873823,-71.09324333333333,327560.93529222126,22.3,19,T
1695743322.5488732,168,56923,0,GPS_frame,,42.338584999999995,4689492.039088801,-71.09323333333333,327561.7910068319,22.5,19,T
1695743323.5507045,169,56924,0,GPS_frame,,42.338596666666675,4689493.310923896,-71.09322166666668,327562.7840250111,22.9,19,T
1695743324.549091,170,56925,0,GPS_frame,,42.33860500000001,4689494.209237725,-71.09320833333332,327563.90523504966,23.0,19,T
1695743325.5521598,171,56926,0,GPS_frame,,42.33859333333333,4689492.876563308,-71.09319,327565.3836869368,22.0,19,T
1695743326.5424292,172,56927,0,GPS_frame,,42.338583333333325,4689491.739099653,-71.09317666666668,327566.45478344,21.4,19,T
1695743327.523824,173,56928,0,GPS_frame,,42.338575000000006,4689490.786706892,-71.09316333333332,327567.5304360188,20.9,19,T
1695743328.548433,174,56929,0,GPS_frame,,42.33857166666667,4689490.389526453,-71.09315,327568.6197559516,20.4,19,T
1695743329.5103595,175,56930,0,GPS_frame,,42.33856166666666,4689489.245303641,-71.09313333333333,327569.9654612506,19.4,19,T
1695743330.5100055,176,56931,0,GPS_frame,,42.33855833333334,4689488.851503414,-71.09312166666668,327570.9174775996,18.7,19,T
1695743331.5506456,177,56932,0,GPS_frame,,42.33856333333333,4689489.386436695,-71.09311166666666,327571.7549681166,18.7,19,T
1695743332.5506973,178,56933,0,GPS_frame,,42.33856833333333,4689489.921370074,-71.09310166666667,327572.5924585016,19.0,19,T
1695743333.5128484,179,56934,0,GPS_frame,,42.338573333333336,4689490.456303552,-71.09309166666667,327573.42994875886,19.2,19,T
1695743334.5418255,180,56935,0,GPS_frame,,42.33858166666667,4689491.364758314,-71.09308333333334,327574.13924606587,19.5,19,T
1695743335.5476818,181,56936,0,GPS_frame,,42.338588333333334,4689492.084762682,-71.09307333333332,327574.98129155725,19.7,19,T
1695743336.547529,182,56937,0,GPS_frame,,42.33859,4689492.252934726,-71.093065,327575.67236648325,19.9,19,T
1695743337.5109434,183,56938,0,GPS_frame,,42.33859333333333,4689492.60955727,-71.09305833333333,327576.2306929898,20.0,19,T
1695743338.508066,184,56939,0,GPS_frame,,42.338596666666675,4689492.962800153,-71.09304999999999,327576.926323304,20.1,19,T
1695743339.5104628,185,56940,0,GPS_frame,,42.33860500000001,4689493.874634942,-71.09304333333333,327577.4983160644,20.5,19,T
1695743340.5103755,186,56941,0,GPS_frame,,42.33861333333333,4689494.783090092,-71.093035,327578.207612516,20.9,19,T
1695743341.5115576,187,56942,0,GPS_frame,,42.338628333333325,4689496.435207845,-71.09302833333332,327578.79782669205,21.1,19,T
1695743342.5103219,188,56943,0,GPS_frame,,42.33864333333333,4689498.080566333,-71.09301833333333,327579.66264814517,21.5,19,T
1695743343.5079405,189,56944,0,GPS_frame,,42.33865000000001,4689498.803950972,-71.09301,327580.3673885274,21.7,19,T
1695743344.5082555,190,56945,0,GPS_frame,,42.33865833333333,4689499.705647148,-71.09299833333333,327581.3512916053,21.9,19,T
1695743345.509344,191,56946,0,GPS_frame,,42.33866833333333,4689500.789034573,-71.092985,327582.47705348453,22.1,19,T
1695743346.5074308,192,56947,0,GPS_frame,,42.338680000000004,4689502.060872468,-71.09297333333333,327583.4700666446,22.3,19,T
1695743347.5059261,193,56948,0,GPS_frame,,42.33869166666667,4689503.329330934,-71.09295999999999,327584.6003831129,22.9,19,T
1695743348.5111208,194,56949,0,GPS_frame,,42.338710000000006,4689505.344831525,-71.09295,327585.47431297594,23.5,19,T
1695743349.5101,195,56950,0,GPS_frame,,42.338725000000004,4689506.990190781,-71.09294,327586.33913188835,24.1,19,T
1695743350.5105598,196,56951,0,GPS_frame,,42.338731666666675,4689507.706817032,-71.09292833333333,327587.31847786845,24.2,19,T
1695743351.5121295,197,56952,0,GPS_frame,,42.338745,4689509.163726289,-71.09291666666667,327588.31604442804,25.2,19,T
1695743352.5025153,198,56953,0,GPS_frame,,42.33875833333333,4689510.620635678,-71.092905,327589.3136105917,26.1,19,T
1695743353.510334,199,56954,0,GPS_frame,,42.33876166666667,4689510.967120887,-71.09289333333332,327590.28384547634,26.6,19,T
1695743354.50216,200,56955,0,GPS_frame,,42.338768333333334,4689511.697265419,-71.09288833333333,327590.71397653455,27.0,19,T
1695743355.510456,201,56956,0,GPS_frame,,42.338775000000005,4689512.420651109,-71.09288,327591.4187144629,27.5,19,T
1695743356.5117292,202,56957,0,GPS_frame,,42.338786666666664,4689513.706007865,-71.092875,327591.86251065054,28.4,19,T
1695743357.511875,203,56958,0,GPS_frame,,42.33879,4689514.069390464,-71.09287166666667,327592.1462277562,28.6,19,T
1695743358.5099735,204,56959,0,GPS_frame,,42.33879833333334,4689514.977847009,-71.09286333333333,327592.8555203947,29.5,19,T
1695743359.5052016,205,56960,0,GPS_frame,,42.338800000000006,4689515.1392619675,-71.09285166666668,327593.8211994309,29.7,19,T
1695743360.5093596,206,56961,0,GPS_frame,,42.33880333333333,4689515.485747775,-71.09284,327594.79143344995,29.9,19,T
1695743361.5100794,207,56962,0,GPS_frame,,42.33880666666667,4689515.835613065,-71.09283,327595.62436395907,30.0,19,T
1695743362.5087175,208,56963,0,GPS_frame,,42.33881833333333,4689517.127728756,-71.09282833333333,327595.7935524343,29.9,19,T
1695743363.5099103,209,56964,0,GPS_frame,,42.338825,4689517.8511149315,-71.09282,327596.4982893102,30.1,19,T
1695743364.5103238,210,56965,0,GPS_frame,,42.33882666666667,4689518.015909694,-71.09281,327597.3266644829,30.2,19,T
1695743365.513302,211,56966,0,GPS_frame,,42.33883000000001,4689518.369154579,-71.09280166666667,327598.0222912019,30.2,19,T
1695743366.5068798,212,56967,0,GPS_frame,,42.338835,4689518.904090957,-71.09279166666667,327598.85977612983,30.3,19,T
1695743367.5098655,213,56968,0,GPS_frame,,42.33884333333334,4689519.805789605,-71.09277999999999,327599.8436740787,30.3,19,T
1695743368.5101502,214,56969,0,GPS_frame,,42.33884666666666,4689520.155655473,-71.09277,327600.6766038076,30.3,19,T
1695743369.5426173,215,56970,0,GPS_frame,,42.33885166666667,4689520.687212925,-71.09275833333332,327601.65139162506,30.4,19,T
1695743370.502538,216,56971,0,GPS_frame,,42.338860000000004,4689521.588911948,-71.09274666666667,327602.6352889558,30.4,19,T
1695743371.505622,217,56972,0,GPS_frame,,42.338866666666675,4689522.305540383,-71.09273499999999,327603.6146312306,30.7,19,T
1695743372.549839,218,56973,0,GPS_frame,,42.33887333333334,4689523.0255481275,-71.092725,327604.45667003957,30.9,19,T
1695743373.5107136,219,56974,0,GPS_frame,,42.338876666666664,4689523.372035366,-71.09271333333332,327605.4269023959,31.1,19,T
1695743374.5531485,220,56975,0,GPS_frame,,42.33888,4689523.718522735,-71.09270166666667,327606.3971346442,31.3,19,T
1695743375.5520027,221,56976,0,GPS_frame,,42.33888666666667,4689524.435151677,-71.09268999999999,327607.37647622614,31.3,19,T
1695743376.5509827,222,56977,0,GPS_frame,,42.33889166666666,4689524.973468249,-71.09268166666668,327608.0766564733,31.4,19,T
1695743377.552003,223,56978,0,GPS_frame,,42.33888666666667,4689524.404739663,-71.092675,327608.6122053089,31.0,19,T
1695743378.5088212,224,56979,0,GPS_frame,,42.338858333333334,4689521.231504712,-71.09266166666666,327609.6332020783,29.5,19,T
1695743379.5508294,225,56980,0,GPS_frame,,42.338835,4689518.613482108,-71.09264833333333,327610.6678637344,28.5,19,T
1695743380.50862,226,56981,0,GPS_frame,,42.338811666666665,4689515.9988387255,-71.09263666666668,327611.5652228382,27.6,19,T
1695743381.5483012,227,56982,0,GPS_frame,,42.338795,4689514.137994452,-71.09263166666666,327611.93158721767,27.2,19,T
1695743382.5493367,228,56983,0,GPS_frame,,42.33878166666667,4689512.643912621,-71.092625,327612.444364425,26.3,19,T
1695743383.5106227,229,56984,0,GPS_frame,,42.33878166666667,4689512.647291642,-71.09262666666667,327612.30706096423,26.4,19,T
1695743384.5495236,230,56985,0,GPS_frame,,42.338775000000005,4689511.9002507385,-71.09262333333332,327612.5634496461,26.0,19,T
1695743385.5493364,231,56986,0,GPS_frame,,42.338775000000005,4689511.9002507385,-71.09262333333332,327612.5634496461,26.0,19,T
1695743386.5509002,232,56987,0,GPS_frame,,42.338775000000005,4689511.9002507385,-71.09262333333332,327612.5634496461,26.0,19,T
1695743387.5115275,233,56988,0,GPS_frame,,42.338775000000005,4689511.9002507385,-71.09262333333332,327612.5634496461,26.0,19,T
1695743388.5118148,234,56989,0,GPS_frame,,42.338768333333334,4689511.153209847,-71.09262,327612.81983838417,25.7,19,T
1695743389.5110044,235,56990,0,GPS_frame,,42.338768333333334,4689511.153209847,-71.09262,327612.81983838417,25.7,19,T
1695743390.5118413,236,56991,0,GPS_frame,,42.338768333333334,4689511.153209847,-71.09262,327612.81983838417,25.7,19,T
1695743391.511392,237,56992,0,GPS_frame,,42.338768333333334,4689511.153209847,-71.09262,327612.81983838417,25.7,19,T
1695743392.5110104,238,56993,0,GPS_frame,,42.338768333333334,4689511.153209847,-71.09262,327612.81983838417,25.7,19,T
1695743393.512517,239,56994,0,GPS_frame,,42.338768333333334,4689511.153209847,-71.09262,327612.81983838417,25.7,19,T
1695743394.5103776,240,56995,0,GPS_frame,,42.338768333333334,4689511.153209847,-71.09262,327612.81983838417,25.7,19,T
1695743395.511133,241,56996,0,GPS_frame,,42.33875833333333,4689510.036027536,-71.09261666666666,327613.06711809715,25.2,19,T
1695743396.511136,242,56997,0,GPS_frame,,42.33875166666667,4689509.278849683,-71.09260833333333,327613.735417548,24.9,19,T
1695743397.5104718,243,56998,0,GPS_frame,,42.33874833333333,4689508.88505538,-71.09259666666667,327614.68743322324,24.6,19,T
1695743398.5054514,244,56999,0,GPS_frame,,42.33873833333334,4689507.747599398,-71.09258333333334,327615.7585346579,24.0,19,T
1695743399.5127556,245,57000,0,GPS_frame,,42.338731666666675,4689506.976906092,-71.09256833333333,327616.9760488981,23.3,19,T
1695743400.510321,246,57001,0,GPS_frame,,42.33871666666667,4689505.267343849,-71.09254666666668,327618.72000578814,22.3,19,T
1695743401.5051155,247,57002,0,GPS_frame,,42.33871666666667,4689505.240312806,-71.09253333333332,327619.8184345941,22.2,19,T
1695743402.51029,248,57003,0,GPS_frame,,42.338719999999995,4689505.57666567,-71.09251666666667,327621.20057924057,22.3,19,T
1695743403.508536,249,57004,0,GPS_frame,,42.338723333333334,4689505.916397623,-71.09250166666668,327622.4454201583,22.3,19,T
1695743404.5093255,250,57005,0,GPS_frame,,42.338725000000004,4689506.064301496,-71.09248333333333,327623.96031384944,22.5,19,T
1695743405.5081236,251,57006,0,GPS_frame,,42.33872833333333,4689506.400655167,-71.09246666666667,327625.3424580981,22.6,19,T
1695743406.5068355,252,57007,0,GPS_frame,,42.338735,4689507.1139080115,-71.09245333333334,327626.4591034331,22.6,19,T
1695743407.507317,253,57008,0,GPS_frame,,42.33874000000001,4689507.638711596,-71.09243833333333,327627.7084979323,23.3,19,T
1695743408.5099456,254,57009,0,GPS_frame,,42.338745,4689508.170272788,-71.09242666666667,327628.6832851593,23.4,19,T
1695743409.5031986,255,57010,0,GPS_frame,,42.33875166666667,4689508.8869048245,-71.092415,327629.6626263382,23.5,19,T
1695743410.5021431,256,57011,0,GPS_frame,,42.33875833333333,4689509.603536991,-71.09240333333334,327630.64196731325,23.7,19,T
1695743411.5076349,257,57012,0,GPS_frame,,42.338766666666665,4689510.508618647,-71.09239333333333,327631.4885586533,23.9,19,T
1695743412.5096972,258,57013,0,GPS_frame,,42.338775000000005,4689511.40356453,-71.09237833333333,327632.7470601946,24.4,19,T
1695743413.5063028,259,57014,0,GPS_frame,,42.33878333333334,4689512.295132037,-71.09236166666666,327634.1428648647,24.9,19,T
1695743414.511929,260,57015,0,GPS_frame,,42.33879,4689513.011764806,-71.09235,327635.12220490223,25.2,19,T
1695743415.5099344,261,57016,0,GPS_frame,,42.33879833333334,4689513.913468422,-71.09233833333333,327636.1060986788,25.4,19,T
1695743416.5096643,262,57017,0,GPS_frame,,42.338809999999995,4689515.192070677,-71.09232999999999,327636.82449324534,25.5,19,T
1695743417.5104377,263,57018,0,GPS_frame,,42.338820000000005,4689516.288980816,-71.09232333333333,327637.4010302832,25.5,19,T
1695743418.5078738,264,57019,0,GPS_frame,,42.338835,4689517.9613743145,-71.09232666666666,327637.16740879905,25.1,19,T
1695743419.5106344,265,57020,0,GPS_frame,,42.33884166666667,4689518.6881430475,-71.09232,327637.73483777896,25.0,19,T
1695743420.5458724,266,57021,0,GPS_frame,,42.338853333333326,4689519.980259528,-71.09231833333334,327637.9040184152,24.9,19,T
