Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,UTC_Time,Latitude,UTM_northing,Longtitude,UTM_easting,Altitude,Zone,Letter
1695688113.7978358,168,1714,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.8,19,T
1695688114.7983434,169,1715,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.8,19,T
1695688115.7984104,170,1716,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.8,19,T
1695688116.7989068,171,1717,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688117.798021,172,1718,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688118.7992268,173,1719,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688119.7984595,174,1720,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688120.7974136,175,1721,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688121.7975094,176,1722,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688122.800517,177,1723,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688123.7977324,178,1724,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688124.7973933,179,1725,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.9,19,T
1695688125.7972584,180,1726,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,20.0,19,T
1695688126.7980864,181,1727,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,20.0,19,T
1695688127.7990286,182,1728,0,GPS_frame,,42.273035,4682085.921356863,-71.029465,332641.5567753202,20.0,19,T
1695688128.797977,183,1729,0,GPS_frame,,42.273035,4682085.921356863,-71.029465,332641.5567753202,20.0,19,T
1695688129.7968237,184,1730,0,GPS_frame,,42.273035,4682085.921356863,-71.029465,332641.5567753202,20.0,19,T
1695688130.799894,185,1731,0,GPS_frame,,42.273035,4682085.921356863,-71.029465,332641.5567753202,20.0,19,T
