Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_Easting,UTM_Northing,Zone,Letter
1698708405.242022,211,1698708405,240756273,GPS1_Frame,42.27421,-71.03005166666667,15.2,332596.28669159935,4682217.54782245,19,T
1698708406.2432358,212,1698708406,241735696,GPS1_Frame,42.27421,-71.03005166666667,15.2,332596.28669159935,4682217.54782245,19,T
1698708407.2415392,213,1698708407,239781141,GPS1_Frame,42.27421,-71.03005166666667,15.2,332596.28669159935,4682217.54782245,19,T
1698708408.2392426,214,1698708408,237135171,GPS1_Frame,42.27421,-71.03005166666667,15.2,332596.28669159935,4682217.54782245,19,T
1698708409.2436733,215,1698708409,243078708,GPS1_Frame,42.274203333333325,-71.03005666666667,15.2,332595.85671003483,4682216.817381185,19,T
1698708410.242728,216,1698708410,241296529,GPS1_Frame,42.274185,-71.03007666666667,15.2,332594.1588468359,4682214.820957375,19,T
1698708411.2420237,217,1698708411,240604400,GPS1_Frame,42.274155,-71.03011166666667,15.1,332591.1931000401,4682211.558551894,19,T
1698708412.2433412,218,1698708412,241577625,GPS1_Frame,42.27411166666668,-71.03015666666667,15.0,332587.36738461914,4682206.835266021,19,T
1698708413.2433417,219,1698708413,241685152,GPS1_Frame,42.274058333333336,-71.03021333333332,14.9,332582.5530788739,4682201.024514907,19,T
1698708414.2428243,220,1698708414,241027355,GPS1_Frame,42.273999999999994,-71.03027833333334,14.8,332577.0383058394,4682194.674949989,19,T
1698708415.242895,221,1698708415,241245031,GPS1_Frame,42.273935,-71.03035,14.6,332570.95609315485,4682187.598226987,19,T
1698708416.2392805,222,1698708416,237664699,GPS1_Frame,42.27386333333334,-71.030425,14.9,332564.58132589026,4682179.787791736,19,T
1698708417.2379417,223,1698708417,236486434,GPS1_Frame,42.27378999999999,-71.0305,15.1,332558.2021311577,4682171.792293758,19,T
1698708418.2386453,224,1698708418,236718654,GPS1_Frame,42.27371166666667,-71.03057666666668,15.3,332551.67223621416,4682163.244874692,19,T
1698708419.2420273,225,1698708419,240042686,GPS1_Frame,42.273631666666674,-71.03066,15.6,332544.5881326958,4682154.525505746,19,T
1698708420.241785,226,1698708420,239697217,GPS1_Frame,42.27355333333333,-71.03074666666666,15.9,332537.23353630444,4682145.997768325,19,T
1698708421.2415547,227,1698708421,239541053,GPS1_Frame,42.273469999999996,-71.03083166666667,16.0,332530.00312451366,4682136.9115552,19,T
1698708422.2399192,228,1698708422,237814426,GPS1_Frame,42.27338666666666,-71.03091500000001,15.9,332522.910139883,4682127.82207054,19,T
1698708423.240988,229,1698708423,239212512,GPS1_Frame,42.2733,-71.03099666666667,15.7,332515.9457535393,4682118.359177573,19,T
1698708424.2729251,230,1698708424,271641492,GPS1_Frame,42.27321,-71.03107,15.4,332509.6597479022,4682108.5097606415,19,T
1698708425.2718058,231,1698708425,269538164,GPS1_Frame,42.27311666666666,-71.03113499999999,15.1,332504.052125007,4682098.273818,19,T
